Instance,(MCS) Time in cutting,(MCS) Cuts added,(MCS) Gap closed,(EW) Time in cutting,(EW) Cuts added,(EW) Gap closed,(RCW) Time in cutting,(RCW) Cuts added,(RCW) Gap closed,(LI) Time in cutting,(LI) Cuts added,(LI) Gap closed,(MS) Time in cutting,(MS) Cuts added,(MS) Gap closed,(ObO) Time in cutting,(ObO) Cuts added,(ObO) Gap closed,(S2V) Time in cutting,(S2V) Relative size,(S2V) Gap closed,(S1V) Time in cutting,(S1V) Relative size,(S1V) Gap closed,SCIP Default,SCIP No heuristics
bayes2_50,1.568,136,0,1.1291,142,0,1.0971,145,0,0.1581,165,0,0.1734,161,0,0.2979,327,0,19.3637,7.83,0,2.1556,6.5,0,0,0
dispatch,0.0053,3,3.22,0.0064,3,4.68,0.0067,3,9.66,0.0054,3,22.4,0.0047,3,22.4,0.005,4,22.4,0.0722,1.09,9.67,0.0026,1.18,22.4,1.35,1.35
emfl050_3_3,0.3965,87,0,0.3956,85,0,0.3965,85,0,0.4298,702,0,0.4252,702,0,0.4192,702,0,2.3409,1,0.00*,0.7304,1,0,1040,1040
emfl100_5_5,8.1577,2850,0,7.648,2850,0,7.8842,2850,0,10.4685,5050,0,11.2697,5050,0,10.44,5050,0,97.4412,1,0.00*,17.9376,1,0,3264,3264
ex2_1_1,0.0033,1,8.95,0.0038,1,4.74,0.0019,1,10,0.0038,1,30.53,0.0033,1,30.53,0.0026,1,30.53,0.0067,2.64,13.39,0.0029,1.55,30.62,-3.07,-3.07
ex2_1_10,0.0487,3,4.79,0.0233,3,8.91,0.1298,3,14.53,0.0078,3,85.14,0.0065,3,85.14,0.0057,3,85.14,0.0393,5.71,49.51,0.0081,2.46,85.14,-11.01,1.32
ex2_1_5,0,0,0,0,0,0,0.09,0,0,0.0461,2,100,0.0041,2,100,0.0037,2,100,0.0219,3.78,99.97,0.0381,2.11,99.97,-0.4,-0.01
ex2_1_6,0.01,0,0,0.01,0,0,0.05,0,0,0.0056,2,45.93,0.0049,2,45.93,0.0041,2,45.93,0.0571,3.24,9.36,0.0045,1.95,47.14,2.21,2.21
ex2_1_7,0.2095,6,0.29,0.1822,6,0.17,0.1357,6,0.47,0.0123,6,5.83,0.0103,6,5.83,0.0097,6,5.83,0.0625,5.41,0.78,0.0186,3.93,5.94,53.45,53.45
ex2_1_8,0.0625,5,1.72,0.0082,2,2.32,0.0646,3,3.09,0.0082,5,28.08,0.0069,5,28.08,0.006,5,28.08,0.0359,2.96,9.02,0.0255,1.96,28.08,-2.33,0.15
ex2_1_9,0.4105,22,3.85,0.2054,22,4.95,0.1859,22,4.95,0.0265,22,12.64,0.0237,22,12.64,0.0468,44,12.64,0.0666,6.18,26.24,0.0683,6.45,44.75,38.18,0.91
ex3_1_1,0.0074,2,0.06,0.0076,2,0.16,0.0021,2,0.07,0.0046,2,0.12,0.0041,2,0.12,0.0046,4,0.25,0.0996,1.92,0.02,0.0043,1.69,0.25,3.3,61.4
ex3_1_2,0.0062,2,0.00*,0.0061,1,28.71,0.0063,1,15.91,0.0051,2,87.98,0.0043,2,87.98,0.0041,3,93.84,0.1045,2.79,90.7,0.0573,2.14,94.49,-0.11,0.03
ex3_1_3,0.0037,2,29.67,0.0038,2,49.04,0.0429,2,32.4,0.0042,2,100,0.0038,2,100,0.0031,2,100,0.0733,1.23,50.96,0.0021,1.31,100,-0.68,0
ex3_1_4,0.0032,1,5.5,0.0036,1,5.5,0.0024,1,5.5,0.004,1,6,0.0034,1,6,0.0027,1,6,0.002,1.33,5.26,0.0015,1.11,9.09,-2,-2
ex5_2_2_case1,0.0047,2,0.02,0.0046,2,0,0.0045,2,0.11,0.051,2,8.38,0.0076,2,8.38,0.0042,4,8.47,0.0038,1.64,0.11,0.0043,1.73,8.47,-2.82,-0.47
ex5_2_2_case2,0,0,0,0,0,0,0,0,0,0.0031,1,0,0.0037,1,0,0.0031,2,0,0.0025,1.45,0,0.0023,1.45,0,0,0
ex5_2_2_case3,0.0032,1,0.16,0.0043,1,0.32,0.0037,1,0.35,0.0035,1,0.16,0.0035,1,0.16,0.0034,2,19.87,0.0897,2.09,0.35,0.0034,1.64,19.87,-2.83,-0.31
ex5_2_4,0.01,6,12.78,0.0094,6,13.96,0.0187,6,15.54,0.006,6,20.4,0.0076,6,20.4,0.0077,12,22.97,0.1025,4.43,7.11,0.1164,4.36,30.97,-14.25,-14.25
ex5_3_2,0.0055,4,0,0.0067,4,0,0.0039,4,0,0.0055,4,6.98,0.0066,4,6.98,0.0064,8,9.3,0.0034,1.88,23.86,0.0054,1.75,29.95,5,5
ex5_4_2,0.0042,2,0.17,0.0073,2,0.4,0.0036,2,0.26,0.005,2,0.29,0.0045,2,0.29,0.0046,4,0.84,0.0045,1.46,0.04,0.0051,1.46,0.84,13.56,80.93
ex7_3_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0046,2,0,0.0012,1,0.00*,0.0022,1,0,0,82
ex8_4_1,0.0361,22,13.79,0.1129,21,11.41,0.0735,21,15.92,0.0192,27,38.73,0.0213,27,38.73,0.0317,37,38.99,0.0624,6.47,18.95,0.0342,4.34,39.15,65.4,69.52
ex9_1_2,0.002,1,0,0.0031,1,0,0.042,1,0,0.0031,1,0,0.0038,1,0,0.0031,2,0,0.0031,1.31,0,0.0022,1.38,0,0,5.88
ex9_2_2,0.0027,3,16.84,0.0047,3,17.19,0.0042,3,20.32,0.005,3,37.7,0.0051,3,37.7,0.0041,4,43.85,0.0904,1.5,21.23,0.0042,1.92,43.85,842.24,842.24
ex9_2_3,0.0031,2,0,0.0042,2,0,0.001,2,5.77,0.0052,2,33.33,0.0046,2,33.33,0.0042,4,33.33,0.0033,1.45,14.52,0.0042,1.55,33.33,-33.33,-33.33
ex9_2_4,0.0035,3,25.22,0.0041,3,33.63,0.0023,3,49.94,0.0049,3,33.63,0.0049,3,33.63,0.0045,4,33.63,0.0021,1,37.58,0.0018,1.09,33.63,66.33,66.46
ex9_2_5,0.0027,3,31.67,0.0046,3,42.23,0.0068,2,47.23,0.0047,3,42.23,0.0046,3,42.23,0.0038,4,42.23,0.0817,1.86,36.88,0.0039,1.71,42.22,49.32,69.32
ex9_2_6,0.0021,6,25.27,0.0078,6,33.62,0.0117,6,49.88,0.0071,6,34.22,0.0076,6,34.22,0.0064,8,34.22,0.0061,1.59,49.88,0.116,1.96,34.22,65.21,65.45
ex9_2_7,0.0038,2,21.42,0.0042,2,19.58,0.0056,2,20.46,0.0039,2,25,0.0044,2,25,0.0037,3,25,0.0045,1.81,22.13,0.0708,1.69,25,42.86,257.14
haverly,0.0068,2,6.25,0.01,0,0,0,0,0,0.0054,2,8.33,0.0054,2,8.33,0.0036,2,8.33,0.0913,1.57,0,0.0024,1.29,8.33,-2.78,-2.78
himmel11,0.0028,2,0.00*,0.0059,1,0.00*,0.0729,2,0.00*,0.0044,2,87.98,0.0054,2,87.98,0.0044,3,93.84,0.0259,3.72,94.86,0.1144,2,94.49,-0.11,0.03
himmel16,0.0412,15,0,0.0577,14,0,0.0457,14,0,0.1042,23,0,0.0874,23,0,0.0787,46,0,0.0512,4.87,0,0.0317,3.96,0,42.86,42.86
house,0.0018,4,29.2,0.008,4,35.16,0.0104,4,22.72,0.0056,4,39.61,0.0079,4,39.61,0.0065,8,67.45,0.0028,1.25,0.00*,0.0037,1.33,66.25,26.87,27.06
hybriddynamic_fixedcc,0.0257,10,34.58,0.0143,8,48.65,0.0142,8,53,0.0213,8,47.83,0.0117,8,47.83,0.0104,11,47.83,0.0338,2.07,0.00*,0.0265,2.17,45.96,73.81,75
kall_circles_c6a,0.4327,23,0,0.5282,29,0,0.1208,29,0,0.1272,29,0,0.0456,29,0,0.148,51,0,0.1007,5.08,0,0.0431,3.32,0,0,0
kall_circles_c7a,0.3184,29,0,0.2989,29,0,0.213,29,0,0.1912,36,0,0.1485,36,0,0.2033,64,0,0.2125,7.4,0,0.061,3.92,0,0,0
kall_congruentcircles_c31,0.0338,7,0,0.0168,7,0,0.0392,7,0,0.0094,7,0,0.0093,7,0,0.0088,11,0,0.034,5.22,0,0.0197,2.96,0,0,0
kall_congruentcircles_c32,0.0524,7,0,0.0422,6,0,0.1605,6,0,0.0098,7,0,0.0102,7,0,0.01,11,0,0.0394,9.96,0,0.1193,4.87,0,0,0
kall_congruentcircles_c41,0.0151,10,0,0.0121,10,0,0.046,10,0,0.0077,10,0,0.0094,10,0,0.0089,16,0,0.0117,2.75,0,0.0491,2.75,0,0,0
kall_congruentcircles_c42,0.0819,11,0,0.0231,11,0,0.0805,11,0,0.0214,11,0,0.0111,11,0,0.0117,18,0,0.0211,3.61,0,0.0108,2.7,0,0,0
kall_congruentcircles_c51,0.1864,16,0,0.1737,16,0,0.2233,16,0,0.0155,16,0,0.0176,16,0,0.0398,27,0,0.0634,4.93,0,0.0184,3.13,0,0,0
kall_congruentcircles_c52,0.3796,17,0,0.2675,17,0,0.3568,17,0,0.0194,17,0,0.0194,17,0,0.0399,28,0,0.0599,6.07,0,0.0231,3.56,0,0,0
kall_congruentcircles_c62,0.0481,21,0,0.1,21,0,0.1687,21,0,0.0171,21,0,0.0887,21,0,0.1182,36,0,0.0303,2.76,0,0.0182,2.42,0,0,0
kall_congruentcircles_c63,0.3175,21,0,0.2927,21,0,0.2224,21,0,0.0205,21,0,0.088,21,0,0.1322,36,0,0.0506,4.22,0,0.0251,2.93,0,0,0
kall_congruentcircles_c71,0.4809,29,0,0.3721,29,0,0.2066,29,0,0.1444,29,0,0.0415,29,0,0.157,51,0,0.0689,3.88,0,0.0301,2.95,0,0,0
kall_congruentcircles_c72,0.1906,28,0,0.2892,28,0,0.1335,28,0,0.0265,28,0,0.1676,28,0,0.1469,49,0,0.0432,3.04,0,0.0263,2.59,0,0,0
kall_diffcircles_10,0.4361,35,0,0.4836,34,0,0.0467,34,0,0.2644,51,0,0.2247,51,0,0.4086,94,0,0.7139,11.12,0,0.1664,5.05,0,0,0
kall_diffcircles_5a,0.3252,14,0,0.323,14,0,0.2415,14,0,0.0346,13,0,0.0429,13,0,0.0247,21,0,0.1712,13.53,0,0.045,5.58,0,173,188
kall_diffcircles_5b,0.1163,15,0,0.2075,15,0,0.0618,15,0,0.0368,14,0,0.0692,14,0,0.0516,23,0,0.109,8.36,0,0.0272,3.91,0,0,0
kall_diffcircles_6,0.2099,15,0,0.1789,15,0,0.1285,15,0,0.0283,15,0,0.0227,15,0,0.0197,25,0,0.1054,8.85,0,0.0284,3.46,0,0,0
kall_diffcircles_7,0.3407,26,0,0.7087,27,0,0.039,27,0,0.1011,28,0,0.1445,28,0,0.1622,49,0,0.2752,9.4,0,0.0667,4.27,0,0,0
kall_diffcircles_8,0.5867,22,0,0.5427,19,0,0.0717,19,0,0.1763,31,0,0.1523,31,0,0.3729,58,0,0.556,14.35,0,0.1409,6.23,0,0,0
kall_diffcircles_9,0.6762,26,0,0.4864,24,0,0.1013,24,0,0.2682,42,0,0.2939,42,0,0.3625,75,0,0.5639,12.75,0,0.1542,5.8,0,0,0
pointpack04,0.1098,20,0,0.0195,20,0,0.0214,20,0,0.0131,20,2.22,0.0163,20,2.22,0.0205,32,2.22,0.0133,2.97,2.22,0.0746,2.93,3.03,2.4,3.2
pointpack06,0.4685,42,0.00*,0.2838,28,0.00*,0.3445,28,0.00*,0.1908,42,3.11,0.1211,42,3.11,0.2583,72,3.11,0.0981,9.45,0.00*,0.0616,5.91,20.69,20.8,4
pointpack08,0.6358,15,0.00*,0.7202,46,0.00*,0.2342,62,0.00*,0.3258,72,9.21,0.3375,72,9.21,0.5664,128,9.21,0.4291,10.2,0.00*,0.177,6.84,21.96,13.6,13.6
pooling_adhya1pq,0.2609,15,4.02,0.0451,15,3.76,0.2361,15,4.82,0.017,15,23.63,0.0213,15,29.62,0.027,30,31.45,0.0665,6.59,10.37,0.0276,4.69,33.6,-10.29,-10.29
pooling_adhya1stp,0.5583,35,4.16,0.5856,35,3.76,0.2662,35,5.05,0.2367,35,23.94,0.2013,35,30.02,0.2755,70,31.45,0.1483,6.39,10.69,0.0639,5.74,33.6,-10.29,-10.29
